Title,Date,Start,End,Location,Description
Cancer Seminar: Dr. Melody Schiaffino Presents Leveraging Informatics to Improve Cancer Care Delivery to Older Adults,2025-04-03,12:00,13:00,"Louisiana Cancer Research Center, 1700 Tulane Avenue, New Orleans, LA  70112, 1st Floor Auditorium","Dr. Schiaffino has been an Associate Director of Equity, Diversity and Inclusion the Moores Cancer Center, an NCI-designated comprehensive cancer center which is also a consortium (UCSD / SDSU / LaJolla Institute for Immunology). She is currently a member of the Moores Cancer Center Cancer Control Program which is grounded in the collaboration between researchers at the Herbert Wertheim School of Public Health and Human Longevity Science at UCSD, UCSD School of Medicine, and researchers at San Diego State University. Dr. Schiaffino’s expertise includes artificial intelligence/machine learning, informatics, cancer control, and service delivery in oncology. Her work centers on improving access to cancer care, with particular attention to older adults and communities that have historically faced barriers to care - by using informatics advances to move the research forward. It will be both in-person and zoom. https://tulane.zoom.us/j/94419373884?pwd=UQqbtyzdmvx4BjbPkTWqXIc4ij1Nko.1 Meeting ID: 944 1937 3884 Passcode: 520404"
Cancer Chalk Talk - Dr. Shalini Kulasingam: Is Elimination a Realistic Goal for Cervical Cancer in the United States?,2025-04-04,12:00,13:00,"Louisiana Cancer Research Center, 1700 Tulane Avenue, New Orleans, LA  70112, 1st Floor Auditorium","The Celia Scott Weatherhead School of Public Health and Tropical Medicine and the Tulane Cancer Center Present: Dr. Shalini Kulasingam is a Professor in the Division of Epidemiology and Community Health at the University of Minnesota School of Public Health. A trained infectious disease epidemiologist, she brings deep expertise in cancer epidemiology, modeling, and health policy. Her work focuses on the evaluation of cancer screening strategies, particularly for cervical cancer, and she has contributed extensively to the development of national and international screening guidelines. Dr. Kulasingam has served as a consultant to the U.S. Preventive Services Task Force, the World Health Organization, and other global health organizations. Her research incorporates decision modeling and comparative effectiveness to inform policy and practice in cancer prevention and control, with an emphasis on reducing health disparities through evidence-based screening approaches. https://directory.sph.umn.edu/bio/sph-a-z/shalini-kulasingam https://tulane.zoom.us/j/96919715731?pwd=zf4enJ8J5p42ZeCMywlQE3b7CfaI4J.1 Meeting ID: 969 1971 5731 Passcode: 687852"
LA CaTS Professional Development Core Annual Spring Retreat 2025 ,2025-04-04,12:00,13:00,"University Medical Center - 2000 Canal Street , Conference Center Rooms C & F, New Orleans, LA. 70112","Please register for a plenary talk on “Individualizing Diabetes Treatment Goals in Older Adults - The Role of A1c Stability” by Dr. Paul Conlin from the Harvard Clinical & Translational Science Center. The event is sponsored by the LA CaTS Professional Development Core and will be held at University Medical Center on Friday, April 4, 2025, from 12:00PM-1:00 PM. A light lunch will be provided preceding the talk. There is an option to attend virtually for those who cannot attend in person. CME credit is also available for individuals attending the talk. The event is free and open to the entire New Orleans academic community and LA CaTS partner institutions."
Grand Rounds:  Dr. Lumie Kawasaki Presents:  Current Perspectives on the Experiences and Processes of Aging - Is the best yet to come?,2025-04-07,12:00,13:00,Murphy Building - 7th Floor; Room 700-701,"Dr. Lumie Kawasaki, Associate Chief of Staff for Geriatrics and Extended Care at Southeast Louisiana Veterans Health Care System and Asociate Professor at Tulane School of Medicine will present for the General Internal Medicine and Geriatrics sponsored Grand Rounds on ""Current Perspectives on the Experiences and Processes of Aging - Is the best yet to come?"" on Monday, April 7, 2025 in Murphy Building, 7th Floor Room 700-701 from 12 noon to 1 p.m.. and via Zoom."
Tulane GWIMS AAMC Early Career Leadership Development Seminar Takeaways,2025-04-08,16:30,17:30,Murphy 220 or via Zoom,"The Tulane Group on Women in Medicine and Science (GWIMS) was pleased to co-sponsor two SOM faculty to attend the AAMC Early Career Leadership Development Seminar in Medicine and Science. Drs. Smita Prasad and Danielle Tatum will share the organizational leadership knowledge and skills learned during the workshop with the Tulane community. *Light refreshments will be provided for those in person, so please make sure you sign up via the Event URL* *If attending via Zoom, please use the Zoom registration link*"
Cancer Seminar: Dr. Jennifer Foster Presents Drug Development in Neuroblastoma: A Path to Improving Survival,2025-04-10,12:00,13:00,"Louisiana Cancer Research Center, 1700 Tulane Avenue, New Orleans, LA  70112, 1st Floor Auditorium","Dr. Jennifer Foster is a pediatric hematologist-oncologist at Texas Children’s Hospital and an Associate Professor of Pediatrics in the Hematology/Oncology Section at Baylor College of Medicine. She serves as the Director of the Adolescent and Young Adult (AYA) Oncology Program at Texas Children's and holds a leadership role in the Cancer and Hematology Centers’ Equity, Diversity, and Inclusion (EDI) Council. Dr. Foster’s work focuses on improving equity in cancer care delivery and outcomes for adolescents and young adults, with an emphasis on underrepresented and medically underserved populations. Her expertise spans AYA oncology, cancer survivorship, health equity, and implementation science. She is particularly interested in bridging gaps in access to care and survivorship services, and in driving systemic change in healthcare environments through inclusive program development and community engagement. https://tulane.zoom.us/j/95790823960?pwd=gd3aE8g7d040Lh0bIyQ5xcgw1oBJzJ.1 Meeting ID: 957 9082 3960 Passcode: 677222"
COBRE Sex-Based Precision Medicine Seminar (updated time),2025-04-10,14:00,15:00,Hutch 4150,"Genetics of Early Menopause and Primary Ovarian Insufficiency” Corrine Welt, MD, George E. Cartwright Presidential Endowed Chair in Internal Medicine, Professor and Chief, Division of Endocrinology, Metabolism and Diabetes, University of Utah"
IRB Pop-Up Clinic,2025-04-15,10:00,14:00,Taylor Center - Howard Tilton Memorial Library (Uptown),"The Tulane Human Research Protection Office will host IRB Pop-Up Clinics from 10am-2pm on April 15th, April 23rd and April 24th. Whether you are a student submitting research for the first time, or a seasoned investigator--we are here to answer your questions. These sessions are open to the entire Tulane Social Behavioral and Biomedical research community, no appointment necessary! Please drop in to get help with any of your IRB needs."
Dr. Rizwan Aslam — Grand Rounds East Jefferson General Hospital ,2025-04-15,12:00,13:00,East Jefferson Esplanade Room 1,Dr. Aslam will be presenting Grand Rounds at East Jefferson General Hospital. Lunch will be provided.
Wear Red for World Hemophilia Day,,00:00,00:00,School of Medicine,Join the Louisiana Center for Bleeding and Clotting Disorders and wear red to celebrate World Hemophilia Day!
TU Global & OISS's Immigration Updates,2025-04-21,12:00,13:15,Diboll Auditorium Tidewater bldg.,In-person information session will provide updates on immigration policies and existing guidance.
CHOICES Grand Rounds,2025-04-22,12:00,13:00,Zoom,"The Center for Health Outcomes, Implementation, and Community-Engaged Science CHOICES Grand Rounds will be held on Tuesday, April 22nd, from 12:00-1:00pm featuring Dr. Kirsten Dorans. We hope to see you there!"
Skin Cancer Detection Day,2025-04-22,12:30,15:30,"7030 Canal Boulevard, Suite 100, New Orleans, LA 70124",Free skin cancer screenings at the Lakeview TUMG clinic. No appointments necessary
SoM Picture Day,,00:00,00:00,Hutchinson 1521,"This is a free event open to all Tulane faculty, residents, fellows, students and staff. Location: Hutchinson Building Room 1521 (First Floor) An appointment isn't necessary to get your pictures taken but it helps us keep track of everyone's email, so we can send the photos back as quickly as possible. Come any time during your appointment window, and it's also okay if you need to come at a different time. *Please bring your white coat if you have one."
Bloom Into Wellness Health Fair,2025-04-23,10:00,13:00,"Pedersen Lobby, LBC Uptown","Spring Pop Up Health Fair: Bloom Into Wellness Date: Wednesday, April 23, 2025 Time: 10:00am - 1:00pm Location: Pedersen Lobby, LBC – Ground Floor, 29 McAlister Dr, Tulane Uptown Campus Step into Spring with a renewed sense of well-being – this season is the perfect time to Bloom into Wellness! We invite you to join us for a rejuvenating Health Fair hosted by Tulane’s Program of Nursing, Tulane Living Well, Tulane Weight Loss Center, and TUPD. At our spring wellness event, our nursing students will offer a variety of wellness activities designed to help you feel your best as the season changes, along with informational tables filled with tips to keep you healthy and thriving this spring. And of course, K-9 Max, the ultimate stress-buster, will be there to offer some furry love and cuddles! Event Highlights: • Blood Pressure Screenings • Stress Assessments • Tips for Better Sleep • Wellness Giveaways • Healthy Spring Recipes This is a great opportunity to check in on your health, discover new ways to support your well-being, and get ready to thrive this spring!"
IRB Pop-Up Clinic,2025-04-23,10:00,14:00,"Murphy Buidling, 7th Floor Room 700","The Tulane Human Research Protection Office will host IRB Pop-Up Clinics from 10am-2pm on April 15th, April 23rd and April 24th. Whether you are a student submitting research for the first time, or a seasoned investigator--we are here to answer your questions. These sessions are open to the entire Tulane Social Behavioral and Biomedical research community, no appointment necessary! Please drop in to get help with any of your IRB needs."
Tulane School of Medicine tent at Wednesdays at the Square,2025-04-23,17:00,20:00,"Lafayette Square, 550 St Charles Avenue","Tulane Medical Alumni Association is sponsoring a Tulane School of Medicine Tent for YLC Wednesday at the Square join us for for a free concert in Lafayette Square featuring George Porter Jr. & Runnin' Pardners, plus Mia Borders from 5:00 PM to 8:00 PM CT. Email tmaa@tulane.edu to register."
IRB Pop-Up Clinic,2025-04-24,10:00,14:00,Diboll Atrium - Tidewater Building SPTHM,"The Tulane Human Research Protection Office will host IRB Pop-Up Clinics from 10am-2pm on April 15th, April 23rd and April 24th. Whether you are a student submitting research for the first time, or a seasoned investigator--we are here to answer your questions. These sessions are open to the entire Tulane Social Behavioral and Biomedical research community, no appointment necessary! Please drop in to get help with any of your IRB needs."
Medicine Grand Rounds,2025-04-28,12:00,13:00,"Murphy Building 7th Floor, Rm. 700-701",John W. Deming Department of Medicine Weekly Grand Rounds
How to Best Approach Food Allergies in Your Adult Patients,2025-04-28,12:00,13:00,"Murphy Building, 7th Floor, Room 700","Grand Rounds with Allison Williamson Hoyt, MD, Allergy & Immunology Specialist, Hoyt Institute of Food Allergy"
Staff Advisory Council Information Session,2025-04-28,16:00,17:00,Via Zoom,"SOM Staff: Now is your chance to become a leader in the staff community by running for a seat on the reimagined Staff Advisory Council, which has given staff a voice in university governance and elevated the workplace experience for all staff employees since 1981. The Staff Advisory Council (SAC) is now accepting nominations for new representatives through Friday, May 2. Those interested are encouraged to join an information session on Monday, April 28 at 4:00 p.m. to learn more about the reimagined SAC and what serving on the council entails."
Integrating POCUS into Medical Education,2025-04-29,12:00,13:00,Zoom,"Join this faculty development webinar from the Office of Medical Education to learn more about the Point-of-Care-Ultrasound resources available at the SOM Sim Center. These POCUS resources are appropriate for learners from UME, GME, or CME and for medical education and clinical practice. • Learn the value of POCUS in medical education. • Best practices for POCUS and simulation integration. • Components of an effective POCUS curriculum. • Assessment and evaluation strategies. • Resources available here at Tulane. Presenter: Leah Steinmetz, MD, MPH, Academic Affairs Education Specialist"
David Cheng,2025-04-30,13:00,15:00,ophthalmology classroom (Murphy 1220),"The Tulane Ophthalmology Interest Group is excited to share and upcoming opportunity for those interested in the field! The Ophthalmology Department is hosting a dry lab for the residents and is inviting medical students to participate. The lab will be held with AbbVie and will focus on their glaucoma device called Xen. The company will demo how to implant the device into the eye using synthetic eyes. The event will be held on the 30th of April at 1pm in the ophthalmology classroom (Murphy 1220). If you are interested, please sign up with the link below as the spots are limited and will be filled on a first-come, first-served basis."
"Kam Leong (Columbia): ""Design of Nucleic Acid-Binding Polymers for Inflammatory Diseases"" ",2025-05-01,12:00,13:00,"LCRC, 1700 Tulane Ave.","Louisiana Cancer Research Center Invited Speaker Series presents ""Design of Nucleic Acid-Binding Polymers for Inflammatory Diseases"" Kam W. Leong Samuel Y. Sheng Professor Department of Biomedical Engineering Columbia University Thursday, May 1, 2025 Noon – 1:00pm Lunch available at 11:45am for attendees To Join Meeting Please Click Here Meeting ID: 936 0454 5408 Passcode: 703166 Louisiana Cancer Research Center 1st Floor Auditorium, 1700 Tulane Avenue For more information please contact: Rebecca Bhanthumachinda 504.988.3068 rbarre1@tulane.edu"
Grand Rounds,2025-05-05,12:00,13:00,"Murphy 7th Floor, Rm. 700-701",Medicine weekly Grand Rounds
GME Grand Rounds: Let's See How Far We've Come: Patient Safety in Graduate Medical Education,2025-05-06,12:00,13:00,"Also in-person, Murphy 700","Discussion of patient safety/quality improvement initiatives in graduate medical education, outline challenges, and discuss strategies to overcome."
Picture Day ,,00:00,00:00,Hutchinson Building Room 1521 (First Floor),"This is a free event open to all Tulane faculty, residents, fellows, students, and staff."
Stroke Outreach with Residents,2025-05-09,10:00,15:00,"St. Martin Manor-1501 N. Johnson Street New Orleans, LA 70116",Join us to teach the community about stroke and how to identify signs of stroke F.A.S.T.
Every Mind Matters,2025-05-09,11:00,14:00,The Broadside,"A community mental health fair raising visibility during Mental Health Awareness Month. The event will be free and no registration is required! It will include community resources, art displays, music, trivia, and other festivities."
International Society of Travel Medicine Conference,,00:00,00:00,Hilton New Orleans Riverside Conference Hotel,"The International Society of Travel Medicine (ISTM) Conference is happening May 11–15 in New Orleans. Tulane is front and center in making this happen and we invite you to join us! This is one of the most dynamic global health events of the year, with sessions on pre-travel care, malaria, rabies, traveler’s diarrhea, schistosomiasis, migrant health, vaccinations, and more—timely topics for anyone working in infectious disease, public health, or global medicine. We are proud to have so many Tulane faculty & alumni represented: Ron Blanton: “The Social Construct of Yellow Fever in 19th Century New Orleans” Maggie Silio & Obi Nnedu: “Cases from Three Louisiana Universities” Patty Kissinger: “Sex and the City of New Orleans” Susan McLellan: Local Organizing Chair Dahlene Fusco, John Schieffelin, Maggie Silio, Crystal Zheng, Jeff Percak, Nick Van Sickels, Obi Nnedu: Local Organizing Committee Kristina Angelo: ISTM Associate Chair Whether you work in clinical care, research, education, or policy, this is an incredible chance to connect with global experts, explore cutting-edge topics, and support our Tulane colleagues who are helping shape the future of travel medicine. Check out the program and register here: https://www.istm.org/event/cistm19/ We hope to see you there!"
International Society of Travel Medicine Conference,,00:00,00:00,Hilton New Orleans Riverside Conference Hotel,"The International Society of Travel Medicine (ISTM) Conference is happening May 11–15 in New Orleans. Tulane is front and center in making this happen and we invite you to join us! This is one of the most dynamic global health events of the year, with sessions on pre-travel care, malaria, rabies, traveler’s diarrhea, schistosomiasis, migrant health, vaccinations, and more—timely topics for anyone working in infectious disease, public health, or global medicine. We are proud to have so many Tulane faculty & alumni represented: Ron Blanton: “The Social Construct of Yellow Fever in 19th Century New Orleans” Maggie Silio & Obi Nnedu: “Cases from Three Louisiana Universities” Patty Kissinger: “Sex and the City of New Orleans” Susan McLellan: Local Organizing Chair Dahlene Fusco, John Schieffelin, Maggie Silio, Crystal Zheng, Jeff Percak, Nick Van Sickels, Obi Nnedu: Local Organizing Committee Kristina Angelo: ISTM Associate Chair Whether you work in clinical care, research, education, or policy, this is an incredible chance to connect with global experts, explore cutting-edge topics, and support our Tulane colleagues who are helping shape the future of travel medicine. Check out the program and register here: https://www.istm.org/event/cistm19/ We hope to see you there!"
Grand Round,2025-05-12,12:00,13:00,"Murphy 7th Floor, Rm. 700-701",Medicine weekly Grand Rounds
Scholarly Activity Day,2025-05-12,13:00,15:00,Murphy Building 220,"Scholarly Activity Day is a celebration of academic growth, research, and innovation within the Clinical & Experimental Neurosciences. This event offers residents and students the opportunity to showcase their scholarly work. All faculty, staff, and departments are warmly invited to attend and support our learners. We encourage you to stop by, engage with the presenters, and take a closer look at the incredible work happening across neuroscience."
International Society of Travel Medicine Conference,,00:00,00:00, Hilton New Orleans Riverside Conference Hotel,"The International Society of Travel Medicine (ISTM) Conference is happening May 11–15 in New Orleans. Tulane is front and center in making this happen and we invite you to join us! This is one of the most dynamic global health events of the year, with sessions on pre-travel care, malaria, rabies, traveler’s diarrhea, schistosomiasis, migrant health, vaccinations, and more—timely topics for anyone working in infectious disease, public health, or global medicine. We are proud to have so many Tulane faculty & alumni represented: Ron Blanton: “The Social Construct of Yellow Fever in 19th Century New Orleans” Maggie Silio & Obi Nnedu: “Cases from Three Louisiana Universities” Patty Kissinger: “Sex and the City of New Orleans” Susan McLellan: Local Organizing Chair Dahlene Fusco, John Schieffelin, Maggie Silio, Crystal Zheng, Jeff Percak, Nick Van Sickels, Obi Nnedu: Local Organizing Committee Kristina Angelo: ISTM Associate Chair Whether you work in clinical care, research, education, or policy, this is an incredible chance to connect with global experts, explore cutting-edge topics, and support our Tulane colleagues who are helping shape the future of travel medicine. Check out the program and register here: https://www.istm.org/event/cistm19/ We hope to see you there!"
International Society of Travel Medicine Conference,,00:00,00:00,Hilton New Orleans Riverside Conference Hotel,"The International Society of Travel Medicine (ISTM) Conference is happening May 11–15 in New Orleans. Tulane is front and center in making this happen and we invite you to join us! This is one of the most dynamic global health events of the year, with sessions on pre-travel care, malaria, rabies, traveler’s diarrhea, schistosomiasis, migrant health, vaccinations, and more—timely topics for anyone working in infectious disease, public health, or global medicine. We are proud to have so many Tulane faculty & alumni represented: Ron Blanton: “The Social Construct of Yellow Fever in 19th Century New Orleans” Maggie Silio & Obi Nnedu: “Cases from Three Louisiana Universities” Patty Kissinger: “Sex and the City of New Orleans” Susan McLellan: Local Organizing Chair Dahlene Fusco, John Schieffelin, Maggie Silio, Crystal Zheng, Jeff Percak, Nick Van Sickels, Obi Nnedu: Local Organizing Committee Kristina Angelo: ISTM Associate Chair Whether you work in clinical care, research, education, or policy, this is an incredible chance to connect with global experts, explore cutting-edge topics, and support our Tulane colleagues who are helping shape the future of travel medicine. Check out the program and register here: https://www.istm.org/event/cistm19/ We hope to see you there!"
Twilight Tour at Thirteen15,2025-05-14,18:30,20:30,1315 Gravier St.,"We’re excited to invite you to an exclusive Twilight Tour & Happy Hour at Thirteen15, a premier Tulane apartment community located in the heart of Downtown. Take this opportunity to explore its fully furnished, thoughtfully designed apartments and experience what elevated living looks like. Thirteen15 is a luxury residence designed for the Tulane community—whether you're a professional, student, or part of the extended network. Located on the Downtown Campus, Thirteen15 offers fully furnished, move-in-ready studio, one-bedroom, and two-bedroom apartments, combining modern comfort with dedicated property management and concierge services for a seamless living experience. thirteen15nola.com Feel free to share this invitation with colleagues who may be interested in attending."
International Society of Travel Medicine Conference,2025-05-15,08:00,12:45, Hilton New Orleans Riverside Conference Hotel,"The International Society of Travel Medicine (ISTM) Conference is happening May 11–15 in New Orleans. Tulane is front and center in making this happen and we invite you to join us! This is one of the most dynamic global health events of the year, with sessions on pre-travel care, malaria, rabies, traveler’s diarrhea, schistosomiasis, migrant health, vaccinations, and more—timely topics for anyone working in infectious disease, public health, or global medicine. We are proud to have so many Tulane faculty & alumni represented: Ron Blanton: “The Social Construct of Yellow Fever in 19th Century New Orleans” Maggie Silio & Obi Nnedu: “Cases from Three Louisiana Universities” Patty Kissinger: “Sex and the City of New Orleans” Susan McLellan: Local Organizing Chair Dahlene Fusco, John Schieffelin, Maggie Silio, Crystal Zheng, Jeff Percak, Nick Van Sickels, Obi Nnedu: Local Organizing Committee Kristina Angelo: ISTM Associate Chair Whether you work in clinical care, research, education, or policy, this is an incredible chance to connect with global experts, explore cutting-edge topics, and support our Tulane colleagues who are helping shape the future of travel medicine. Check out the program and register here: https://www.istm.org/event/cistm19/ We hope to see you there!"
Clinical Trials Day,2025-05-20,13:00,17:00,Murphy  Innovation Center,"Tuesday, May 20th is Clinical Trials Day! In appreciation of the importance of the clinical research work performed by members of the Tulane community, the Tulane School of Medicine, the Tulane Center for Clinical Research, and the Tulane Cancer Center are hosting a casual reception to celebrate all the Investigators, Research Nurses, Coordinators, Administrators, and other professionals who make clinical research possible."
"Stroke Awareness presented by Angela Walsh, BSN -Towards a Healthier Us Wellness Session",2025-05-20,18:00,20:00,"Voice of the Experienced (VOTE) 4930 Washington Ave. New Orleans, LA 70125","Join us Tuesday, May 20 for a free community session with Angela Walsh, BSN. She’ll break down how to spot a stroke, act F.A.S.T., and lower your risk."
Perinatal & Postpartum Stroke Awareness,2025-05-22,17:30,19:00,online,"Join Birthmark as we partner with Tulane School of Medicine - Center for Clinical Neurosciences to bring you a very special webinar on perinatal health & stroke awareness featuring community expert Angela L. Walsh, BSN, RN, CLC, Stroke Outreach Nurse Specialist. This webinar is being held in May to honor National Stroke Awareness Month & Preeclampsia Awareness Month. We will review stroke risks, preeclampsia, prevention methods & more."
Sex-Based Precision Medicine Symposium,,00:00,00:00,Tidewater 1st Floor Auditorium,Annual Symposium of the Tulane Center of Excellence in Sex-Based Precision Medicine
CHOICES Grand Rounds: CVD & Sleep Health,2025-06-03,12:00,13:00,Murphy Building - Room 700/701,"The Center for Health Outcomes, Implementation, and Community-Engaged Science (CHOICES) Grand Rounds will be held on Tuesday, June 3rd, from 12:00-1:00pm in the Murphy Building (Rm. 700/701) featuring Dr. Erin Peacock, PhD, MPH. We hope to see you there!"
Introduction to Restorative Approaches,2025-06-05,16:30,18:00,"Murphy Building, 2nd Floor, Rm 220","Dr. Wegmann will discuss Tulane’s Resolution & Restorative Engagement Program and share the wide range of services available to our community, including: • Individualized conflict coaching • Shuttle negotiation • Facilitated dialogue • Restorative conversations/circles • Mediation • Community building circles • Additional presentations and resources This session is a wonderful opportunity to learn how restorative approaches can support our professional and personal growth, foster a healthier work environment, and strengthen our community."
10th Annual Tulane Level II Coordinator Training 2025,,00:00,00:00,"1440 Canal Street, Diboll Auditorium, 1st floor, room 106, New Orleans, LA 70112","The Tulane Center for Clinical Research (TCCR) is happy to invite you to register and attend the 10th Annual Tulane  Level II Coordinator Training. This training is scheduled to take place on Friday, June 6th, 2025 [8 AM- 4 PM CDT], and will be offered in-person and via Zoom! The in-person training will be held at the Tulane Weatherhead School of Public Health and Tropical Medicine building (1440 Canal Street, Diboll Auditorium, 1st floor, room 106, New Orleans, LA 70112). The goal of this training is to provide live, interactive discussion of ""Research Ethics"" with renowned PI mentors and experts in clinical research who will dissect challenging research cases and discuss ethical dilemmas to offer guidance and valuable insights on how to effectively address such situations. Attendance is free and open to everyone nationally and internationally! If you have any questions about this training or any of our future trainings, please email the training organizer, Wesal Abualkhair, at wabualkh@tulane.edu or TCCRtraining@tulane.edu or call 504-988-6200."
Pathology Grand Rounds: The Role of Core-Binding Factor Subunit Beta (CBFB) in Bone Homeostasis,2025-06-06,12:00,13:30,Via ZOOM:  https://tulane.zoom.us/j/94055303166,"PATHOLOGY GRAND ROUNDS The Role of Core-Binding Factor Subunit Beta (CBFB) in Bone Homeostasis and Its Therapeutic Implications by Wei Chen, Ph.D., Professor of Pathology and Laboratory Medicine"
Breaking the Boundaries Symposium,2025-06-09,11:30,17:25,Crowne Plaza New Orleans French Quarter,"The Breaking the Boundaries Symposium will assemble a multi-sector (academic, community, government, industry) audience and knowledgeable speakers to identify transformative changes that could be made to research processes and healthcare delivery to amplify and accelerate translation of evidence-informed practice leading to improvement in health outcomes. This two-day event joins a suite of similar conversations across the nation sponsored by the Doris Duke Foundation and the Strengthening Pathways Collective to create a blueprint for change. Up to 6 trainees – undergraduates, graduate students and post-graduate trainees (residents, fellows, post-docs) – will have the unique opportunity to present a challenge or barrier they have observed in the application of evidence-based knowledge to improve health and to propose a solution or change that may overcome that obstacle."
Breaking the Boundaries Symposium,2025-06-10,07:15,12:00,Crowne Plaza New Orleans French Quarter,"The Breaking the Boundaries Symposium will assemble a multi-sector (academic, community, government, industry) audience and knowledgeable speakers to identify transformative changes that could be made to research processes and healthcare delivery to amplify and accelerate translation of evidence-informed practice leading to improvement in health outcomes. This two-day event joins a suite of similar conversations across the nation sponsored by the Doris Duke Foundation and the Strengthening Pathways Collective to create a blueprint for change. Up to 6 trainees – undergraduates, graduate students and post-graduate trainees (residents, fellows, post-docs) – will have the unique opportunity to present a challenge or barrier they have observed in the application of evidence-based knowledge to improve health and to propose a solution or change that may overcome that obstacle."
2025 Tech Talks - TU Tech Toolkit,2025-06-10,10:00,10:45,https://tulane.bridgeapp.com/learner/training/7658b1cb/enroll,"In today's rapidly evolving work landscape, leveraging the right technology is crucial for career efficiency and performance. This session is designed for academic and operational employees seeking to improve their digital literacy, enhance their tech toolkits, and boost their performance. Learn what digital tools are available at Tulane and how to incorporate them into your projects, initiatives, or day-to-day tasks. This workshop is hosted by Tulane Information Technology (IT) and the Innovative Learning Center (ILC)."
2025 Tech Talks - TUTech: AI 9 to 5,2025-06-12,13:00,13:45,https://tulane.bridgeapp.com/learner/training/32117541/enroll,"In today’s fast-paced work environment, integrating AI tools into daily routines is essential for maximizing productivity and efficiency. This session will provide attendees with a practical guide on using AI tools to streamline their workday. By introducing participants to each tool, this presentation will showcase how AI can optimize tasks ranging from meetings to research, brainstorming, and content creation. The rationale behind this session is to empower professionals with actionable knowledge and strategies that harness AI's potential to make work more efficient, allowing them to focus on high-value tasks and maintain work-life balance."
Pathology Grand Rounds,2025-06-13,12:00,13:30,Via ZOOM,Grand Rounds Seminar held every Friday from September through June
Pathology Grand Rounds,2025-06-13,12:00,13:30,Via Zoom:,Weekly Grand Rounds Seminars
"2025 Tech Talks - AI: So, What's Next?",2025-06-17,13:00,13:45,Howard-Tilton Memorial Library Room 306 (CELT & ILC),"You have some experience working with AI, probably ChatGPT, but how can you take it to the next level? Also, what is next for AI? Where are we heading? In this session, we will explore some intermediate AI use and demonstrate some of the latest AI capabilities."
